CODES,DATES,OPEN,CLOSE,HIGH,LOW,VOLUME,TR,EFFECT_RATIO,SMOOTH,MIDDLE,TOP,BOTTOM,BUY,SELL
600309.SH,2010/07/06,6.539265,6.724844999999999,6.754148,6.539265,10160599.0,0.22464999999999957,0.4926107115598636,0.4522644086341088,8.950912851120584,9.065659788823936,8.836165913417233,0,0
600309.SH,2010/07/07,6.710194,6.881124000000001,6.905542,6.710194,11300888.0,0.1953479999999992,0.34923620272475453,0.36114193384249843,8.812740238885578,8.911124240928553,8.714356236842603,0,0
600309.SH,2010/07/08,6.934844,6.8029839999999995,6.934844,6.7443800000000005,7648717.0,0.19046399999999952,0.22541997278665774,0.2748088962643683,8.92046786424359,9.039999418245387,8.800936310241795,0,0
600309.SH,2010/07/09,6.788333000000001,7.037402,7.056937,6.65159,17657448.0,0.4053469999999999,0.03999976338501413,0.20025288683927775,8.936943104944481,9.10740675472732,8.766479455161642,0,0
600309.SH,2010/07/12,7.047169,7.1594940000000005,7.232749,6.983681,14512602.0,0.2490680000000003,0.2176164098994966,0.08860200805979346,9.361391418856247,9.596079083515681,9.126703754196813,0,0
600309.SH,2010/07/13,7.081355,6.939728,7.081355,6.886007000000001,8025956.0,0.27348699999999937,0.11081109948327725,0.19555396725130975,9.675092488478414,9.891927067733947,9.458257909222882,0,0
600309.SH,2010/07/14,6.983681,6.954378999999999,7.086239,6.920192999999999,10569023.0,0.16604600000000058,0.2492833297152678,0.13124109216197338,10.017313326693433,10.223010297315975,9.81161635607089,0,0
600309.SH,2010/07/15,6.959263000000001,6.842053999999999,7.042285000000001,6.8371699999999995,7449998.0,0.20511500000000105,0.06956539802655978,0.2146222200436021,10.444149578002706,10.587715644560385,10.300583511445028,0,0
600309.SH,2010/07/16,6.729728999999999,7.144842999999999,7.174144999999999,6.671125,11837836.0,0.5030199999999994,0.13235271238269322,0.10640497085470266,10.01572127770851,10.122355713024099,9.90908684239292,0,0
600309.SH,2010/07/19,7.135076,7.506236,7.594142999999999,7.135076,24550793.0,0.4590669999999992,0.3110151913849152,0.14421238595086902,10.263559868256749,10.342744707080795,10.184375029432703,0,0
600309.SH,2010/07/20,7.520886999999999,7.760188,7.848095,7.428097,22560315.0,0.41999799999999965,0.3175963100464409,0.2517940937371532,9.921846206987718,10.018064129297917,9.825628284677519,0,0
600309.SH,2010/07/21,7.765072,7.965303,8.155766999999999,7.716235,27065049.0,0.4395319999999989,0.32673252874285597,0.2557569178774267,10.378429205935932,10.47350179012591,10.283356621745954,0,0
600309.SH,2010/07/22,7.843211,7.965303,7.999489,7.843211,9789704.0,0.15627799999999947,0.4365902728585443,0.26125829687741864,10.293735657472094,10.399436241537105,10.188035073407084,0,0
600309.SH,2010/07/23,7.950652000000001,7.794374,7.984838000000001,7.677166000000001,12931972.0,0.30767200000000017,0.33725501689898657,0.32740919655998363,10.007260582366989,10.127950402810505,9.886570761923473,0,0
600309.SH,2010/07/26,7.804142,7.843211,7.887164,7.613678,13205074.0,0.2734860000000001,0.39122167458040225,0.26759441877788437,10.047818688130592,10.171149902070836,9.924487474190348,0,0
600309.SH,2010/07/27,7.8383270000000005,7.769956,7.843211,7.677166000000001,11430053.0,0.16604499999999955,0.28131910761008455,0.3000904707150809,10.032424916459702,10.124064651560543,9.94078518135886,0,0
600309.SH,2010/07/28,7.765072,8.062977,8.097163,7.706467999999999,19219208.0,0.3906950000000009,0.25850371406310796,0.2339125809265025,9.791359991539736,9.842423775469909,9.740296207609562,0,0
600309.SH,2010/07/29,8.058094,8.082512,8.209488,7.955536,15118852.0,0.25395199999999996,0.16216254288962867,0.22017427943584994,9.982024257808533,10.041138718529968,9.922909797087097,0,0
600309.SH,2010/07/30,7.984838000000001,8.058094,8.141116,7.96042,10960798.0,0.1806960000000002,0.05367290134796887,0.1621623914174108,9.865144274738286,9.952116208074987,9.778172341401586,0,0
600309.SH,2010/08/02,8.077628,8.355999,8.424371,7.999489,19082538.0,0.4248820000000011,0.19559954100973886,0.09683529543533609,10.131789946508627,10.259557610358769,10.004022282658486,0,0
600309.SH,2010/08/03,8.365766,8.102047,8.365766,8.058094,15697810.0,0.30767200000000017,0.1540345884807863,0.18229649781231586,10.173191224326503,10.282421823042565,10.063960625610441,0,0
600309.SH,2010/08/04,8.05321,8.038559,8.155766999999999,7.784607,15104464.0,0.3711599999999988,0.09324032911046772,0.1572681393002584,10.324758920319123,10.429005104124125,10.220512736514122,0,0
600309.SH,2010/08/05,8.058094,8.058094,8.170419,7.887164,17570741.0,0.2832550000000005,0.13024293137676815,0.12066084333533539,10.530340931298293,10.609603240361052,10.451078622235533,0,0
600309.SH,2010/08/06,8.023908,8.209488,8.268092,7.799258,22863243.0,0.4688339999999993,0.06396600494837056,0.1429419801838604,10.278301090199351,10.342818746510032,10.21378343388867,0,0
600309.SH,2010/08/09,8.204604,8.355999,8.478091000000001,8.136233,18960556.0,0.3418580000000002,0.11498988587499737,0.10303329330224463,10.334927474539333,10.386191781177578,10.283663167901087,0,0
600309.SH,2010/08/10,8.380417,7.940885000000001,8.399952,7.936000999999999,15537424.0,0.46395100000000156,0.0440368468431912,0.13375735063440702,10.437036170961667,10.48535446321404,10.388717878709294,0,0
600309.SH,2010/08/11,7.945769,7.979953999999999,8.05321,7.86763,8499027.0,0.18557999999999986,0.15524231002638028,0.09103294003460975,10.398397898508044,10.44869831330735,10.348097483708738,0,0
600309.SH,2010/08/12,7.86763,7.765072,8.038559,7.755305,12443638.0,0.28325399999999945,0.14052968190393927,0.1579953694782505,10.515419437373646,10.556938303440823,10.47390057130647,0,0
600309.SH,2010/08/13,7.769956,7.8627460000000005,7.8725130000000005,7.594142999999999,11676317.0,0.27837000000000156,0.07627124526376651,0.1491361525443075,10.385927642216933,10.425367439183278,10.346487845250588,0,0
